Sample,Microcosm,Timepoint,Disturbance,Immigration,Extraction,Nucleic Acid,Week,Date,Temperature
MesoAllT0_RNA_1,All,0,N,N,Griffith,RNA,0,6/22/18,NA
MesoAllT0_RNA_2,All,0,N,N,Griffith,RNA,0,6/22/18,NA
C1T1_RNA,C1,1,N,N,Griffith,RNA,4,8/1/18,14
C2T1_RNA,C2,1,N,N,Griffith,RNA,4,8/1/18,14
C3T1_RNA,C3,1,N,N,Griffith,RNA,4,8/1/18,14
C4T1_RNA,C4,1,N,N,Griffith,RNA,4,8/1/18,14
C5T1_RNA,C5,1,N,N,Griffith,RNA,4,8/1/18,14
C6T1_RNA,C6,1,N,N,Griffith,RNA,4,8/1/18,14
R1T1_RNA,R1,1,Y,N,Griffith,RNA,4,8/1/18,14
R2T1_RNA,R2,1,Y,N,Griffith,RNA,4,8/1/18,14
R3T1_RNA,R3,1,Y,N,Griffith,RNA,4,8/1/18,14
R4T1_RNA,R4,1,Y,N,Griffith,RNA,4,8/1/18,14
R5T1_RNA,R5,1,Y,N,Griffith,RNA,4,8/1/18,14
R6T1_RNA,R6,1,Y,Y,Griffith,RNA,4,8/1/18,14
R7T1_RNA,R7,1,Y,Y,Griffith,RNA,4,8/1/18,14
R8T1_RNA,R8,1,Y,Y,Griffith,RNA,4,8/1/18,14
R9T1_RNA,R9,1,Y,Y,Griffith,RNA,4,8/1/18,14
C1T2_RNA,C1,2,N,N,Griffith,RNA,5,8/8/18,14
C2T2_RNA,C2,2,N,N,Griffith,RNA,5,8/8/18,14
C3T2_RNA,C3,2,N,N,Griffith,RNA,5,8/8/18,14
C4T2_RNA,C4,2,N,N,Griffith,RNA,5,8/8/18,14
C5T2_RNA,C5,2,N,N,Griffith,RNA,5,8/8/18,14
C6T2_RNA,C6,2,N,N,Griffith,RNA,5,8/8/18,14
R1T2_RNA,R1,2,Y,N,Griffith,RNA,5,8/8/18,37
R2T2_RNA,R2,2,Y,N,Griffith,RNA,5,8/8/18,37
R3T2_RNA,R3,2,Y,N,Griffith,RNA,5,8/8/18,37
R4T2_RNA,R4,2,Y,N,Griffith,RNA,5,8/8/18,37
R5T2_RNA,R5,2,Y,N,Griffith,RNA,5,8/8/18,37
R6T2_RNA,R6,2,Y,Y,Griffith,RNA,5,8/8/18,37
R7T2_RNA,R7,2,Y,Y,Griffith,RNA,5,8/8/18,37
R8T2_RNA,R8,2,Y,Y,Griffith,RNA,5,8/8/18,37
R9T2_RNA,R9,2,Y,Y,Griffith,RNA,5,8/8/18,37
C1T3_RNA,C1,3,N,N,Griffith,RNA,6,8/15/18,14
C2T3_RNA,C2,3,N,N,Griffith,RNA,6,8/15/18,14
C3T3_RNA,C3,3,N,N,Griffith,RNA,6,8/15/18,14
C4T3_RNA,C4,3,N,N,Griffith,RNA,6,8/15/18,14
C5T3_RNA,C5,3,N,N,Griffith,RNA,6,8/15/18,14
C6T3_RNA,C6,3,N,N,Griffith,RNA,6,8/15/18,14
R1T3_RNA,R1,3,Y,N,Griffith,RNA,6,8/15/18,60
R2T3_RNA,R2,3,Y,N,Griffith,RNA,6,8/15/18,60
R3T3_RNA,R3,3,Y,N,Griffith,RNA,6,8/15/18,60
R4T3_RNA,R4,3,Y,N,Griffith,RNA,6,8/15/18,60
R5T3_RNA,R5,3,Y,N,Griffith,RNA,6,8/15/18,60
R6T3_RNA,R6,3,Y,Y,Griffith,RNA,6,8/15/18,60
R7T3_RNA,R7,3,Y,Y,Griffith,RNA,6,8/15/18,60
R8T3_RNA,R8,3,Y,Y,Griffith,RNA,6,8/15/18,60
R9T3_RNA,R9,3,Y,Y,Griffith,RNA,6,8/15/18,60
C1T4_RNA,C1,4,N,N,Griffith,RNA,10,9/12/18,14
C2T4_RNA,C2,4,N,N,Griffith,RNA,10,9/12/18,14
C3T4_RNA,C3,4,N,N,Griffith,RNA,10,9/12/18,14
C4T4_RNA,C4,4,N,N,Griffith,RNA,10,9/12/18,14
C5T4_RNA,C5,4,N,N,Griffith,RNA,10,9/12/18,14
C6T4_RNA,C6,4,N,N,Griffith,RNA,10,9/12/18,14
R1T4_RNA,R1,4,Y,N,Griffith,RNA,10,9/12/18,60
R2T4_RNA,R2,4,Y,N,Griffith,RNA,10,9/12/18,60
R3T4_RNA,R3,4,Y,N,Griffith,RNA,10,9/12/18,60
R4T4_RNA,R4,4,Y,N,Griffith,RNA,10,9/12/18,60
R5T4_RNA,R5,4,Y,N,Griffith,RNA,10,9/12/18,60
R6T4_RNA,R6,4,Y,Y,Griffith,RNA,10,9/12/18,60
R7T4_RNA,R7,4,Y,Y,Griffith,RNA,10,9/12/18,60
R8T4_RNA,R8,4,Y,Y,Griffith,RNA,10,9/12/18,60
R9T4_RNA,R9,4,Y,Y,Griffith,RNA,10,9/12/18,60
C1T7_RNA,C1,7,N,N,Griffith,RNA,16,10/24/18,14
C2T7_RNA,C2,7,N,N,Griffith,RNA,16,10/24/18,14
C3T7_RNA,C3,7,N,N,Griffith,RNA,16,10/24/18,14
C4T7_RNA,C4,7,N,N,Griffith,RNA,16,10/24/18,14
C5T7_RNA,C5,7,N,N,Griffith,RNA,16,10/24/18,14
C6T7_RNA,C6,7,N,N,Griffith,RNA,16,10/24/18,14
R1T7_RNA,R1,7,Y,N,Griffith,RNA,16,10/24/18,14
R2T7_RNA,R2,7,Y,N,Griffith,RNA,16,10/24/18,14
R3T7_RNA,R3,7,Y,N,Griffith,RNA,16,10/24/18,14
R4T7_RNA,R4,7,Y,N,Griffith,RNA,16,10/24/18,14
R5T7_RNA,R5,7,Y,N,Griffith,RNA,16,10/24/18,14
R6T7_RNA,R6,7,Y,Y,Griffith,RNA,16,10/24/18,14
R7T7_RNA,R7,7,Y,Y,Griffith,RNA,16,10/24/18,14
R8T7_RNA,R8,7,Y,Y,Griffith,RNA,16,10/24/18,14
R9T7_RNA,R9,7,Y,Y,Griffith,RNA,16,10/24/18,14
C1T5_RNA,C1,5,N,N,Griffith,RNA,14,10/10/18,14
C2T5_RNA,C2,5,N,N,Griffith,RNA,14,10/10/18,14
C3T5_RNA,C3,5,N,N,Griffith,RNA,14,10/10/18,14
C4T5_RNA,C4,5,N,N,Griffith,RNA,14,10/10/18,14
C5T5_RNA,C5,5,N,N,Griffith,RNA,14,10/10/18,14
C6T5_RNA,C6,5,N,N,Griffith,RNA,14,10/10/18,14
R1T5_RNA,R1,5,Y,N,Griffith,RNA,14,10/10/18,60
R2T5_RNA,R2,5,Y,N,Griffith,RNA,14,10/10/18,60
R3T5_RNA,R3,5,Y,N,Griffith,RNA,14,10/10/18,60
R4T5_RNA,R4,5,Y,N,Griffith,RNA,14,10/10/18,60
R5T5_RNA,R5,5,Y,N,Griffith,RNA,14,10/10/18,60
R6T5_RNA,R6,5,Y,Y,Griffith,RNA,14,10/10/18,60
R7T5_RNA,R7,5,Y,Y,Griffith,RNA,14,10/10/18,60
R8T5_RNA,R8,5,Y,Y,Griffith,RNA,14,10/10/18,60
R9T5_RNA,R9,5,Y,Y,Griffith,RNA,14,10/10/18,60
C1T6_RNA,C1,6,N,N,Griffith,RNA,15,10/17/18,14
C2T6_RNA,C2,6,N,N,Griffith,RNA,15,10/17/18,14
C3T6_RNA,C3,6,N,N,Griffith,RNA,15,10/17/18,14
C4T6_RNA,C4,6,N,N,Griffith,RNA,15,10/17/18,14
C5T6_RNA,C5,6,N,N,Griffith,RNA,15,10/17/18,14
C6T6_RNA,C6,6,N,N,Griffith,RNA,15,10/17/18,14
R1T6_RNA,R1,6,Y,N,Griffith,RNA,15,10/17/18,37
R2T6_RNA,R2,6,Y,N,Griffith,RNA,15,10/17/18,37
R3T6_RNA,R3,6,Y,N,Griffith,RNA,15,10/17/18,37
R4T6_RNA,R4,6,Y,N,Griffith,RNA,15,10/17/18,37
R5T6_RNA,R5,6,Y,N,Griffith,RNA,15,10/17/18,37
R6T6_RNA,R6,6,Y,Y,Griffith,RNA,15,10/17/18,37
R7T6_RNA,R7,6,Y,Y,Griffith,RNA,15,10/17/18,37
R8T6_RNA,R8,6,Y,Y,Griffith,RNA,15,10/17/18,37
R9T6_RNA,R9,6,Y,Y,Griffith,RNA,15,10/17/18,37
C1T8_RNA,C1,8,N,N,Griffith,RNA,20,11/21/18,14
C2T8_RNA,C2,8,N,N,Griffith,RNA,20,11/21/18,14
C3T8_RNA,C3,8,N,N,Griffith,RNA,20,11/21/18,14
C4T8_RNA,C4,8,N,N,Griffith,RNA,20,11/21/18,14
C5T8_RNA,C5,8,N,N,Griffith,RNA,20,11/21/18,14
C6T8_RNA,C6,8,N,N,Griffith,RNA,20,11/21/18,14
R1T8_RNA,R1,8,Y,N,Griffith,RNA,20,11/21/18,14
R2T8_RNA,R2,8,Y,N,Griffith,RNA,20,11/21/18,14
R3T8_RNA,R3,8,Y,N,Griffith,RNA,20,11/21/18,14
R4T8_RNA,R4,8,Y,N,Griffith,RNA,20,11/21/18,14
R5T8_RNA,R5,8,Y,N,Griffith,RNA,20,11/21/18,14
R6T8_RNA,R6,8,Y,Y,Griffith,RNA,20,11/21/18,14
R7T8_RNA,R7,8,Y,Y,Griffith,RNA,20,11/21/18,14
R8T8_RNA,R8,8,Y,Y,Griffith,RNA,20,11/21/18,14
R9T8_RNA,R9,8,Y,Y,Griffith,RNA,20,11/21/18,14
C1T9_RNA,C1,9,N,N,Griffith,RNA,45,5/13/19,14
C2T9_RNA,C2,9,N,N,Griffith,RNA,45,5/13/19,14
C3T9_RNA,C3,9,N,N,Griffith,RNA,45,5/13/19,14
C4T9_RNA,C4,9,N,N,Griffith,RNA,45,5/13/19,14
C5T9_RNA,C5,9,N,N,Griffith,RNA,45,5/13/19,14
C6T9_RNA,C6,9,N,N,Griffith,RNA,45,5/13/19,14
R1T9_RNA,R1,9,Y,N,Griffith,RNA,45,5/13/19,14
R2T9_RNA,R2,9,Y,N,Griffith,RNA,45,5/13/19,14
R3T9_RNA,R3,9,Y,N,Griffith,RNA,45,5/13/19,14
R4T9_RNA,R4,9,Y,N,Griffith,RNA,45,5/13/19,14
R5T9_RNA,R5,9,Y,N,Griffith,RNA,45,5/13/19,14
R6T9_RNA,R6,9,Y,Y,Griffith,RNA,45,5/13/19,14
R7T9_RNA,R7,9,Y,Y,Griffith,RNA,45,5/13/19,14
R8T9_RNA,R8,9,Y,Y,Griffith,RNA,45,5/13/19,14
R9T9_RNA,R9,9,Y,Y,Griffith,RNA,45,5/13/19,14
Meso_All_DNA_1,All,0,N,N,Griffith,DNA,0,6/22/18,NA
Meso_All_DNA_2,All,0,N,N,Griffith,DNA,0,6/22/18,NA
C1T1_DNA,C1,1,N,N,Griffith,DNA,4,8/1/18,14
C2T1_DNA,C2,1,N,N,Griffith,DNA,4,8/1/18,14
C3T1_DNA,C3,1,N,N,Griffith,DNA,4,8/1/18,14
C4T1_DNA,C4,1,N,N,Griffith,DNA,4,8/1/18,14
C5T1_DNA,C5,1,N,N,Griffith,DNA,4,8/1/18,14
C6T1_DNA,C6,1,N,N,Griffith,DNA,4,8/1/18,14
R1T1_DNA,R1,1,Y,N,Griffith,DNA,4,8/1/18,14
R2T1_DNA,R2,1,Y,N,Griffith,DNA,4,8/1/18,14
R3T1_DNA,R3,1,Y,N,Griffith,DNA,4,8/1/18,14
R4T1_DNA,R4,1,Y,N,Griffith,DNA,4,8/1/18,14
R5T1_DNA,R5,1,Y,N,Griffith,DNA,4,8/1/18,14
R6T1_DNA,R6,1,Y,Y,Griffith,DNA,4,8/1/18,14
R7T1_DNA,R7,1,Y,Y,Griffith,DNA,4,8/1/18,14
R8T1_DNA,R8,1,Y,Y,Griffith,DNA,4,8/1/18,14
R9T1_DNA,R9,1,Y,Y,Griffith,DNA,4,8/1/18,14
C1T2_DNA,C1,2,N,N,Griffith,DNA,5,8/8/18,14
C2T2_DNA,C2,2,N,N,Griffith,DNA,5,8/8/18,14
C3T2_DNA,C3,2,N,N,Griffith,DNA,5,8/8/18,14
C4T2_DNA,C4,2,N,N,Griffith,DNA,5,8/8/18,14
C5T2_DNA,C5,2,N,N,Griffith,DNA,5,8/8/18,14
C6T2_DNA,C6,2,N,N,Griffith,DNA,5,8/8/18,14
R1T2_DNA,R1,2,Y,N,Griffith,DNA,5,8/8/18,37
R2T2_DNA,R2,2,Y,N,Griffith,DNA,5,8/8/18,37
R3T2_DNA,R3,2,Y,N,Griffith,DNA,5,8/8/18,37
R4T2_DNA,R4,2,Y,N,Griffith,DNA,5,8/8/18,37
R5T2_DNA,R5,2,Y,N,Griffith,DNA,5,8/8/18,37
R6T2_DNA,R6,2,Y,Y,Griffith,DNA,5,8/8/18,37
R7T2_DNA,R7,2,Y,Y,Griffith,DNA,5,8/8/18,37
R8T2_DNA,R8,2,Y,Y,Griffith,DNA,5,8/8/18,37
R9T2_DNA,R9,2,Y,Y,Griffith,DNA,5,8/8/18,37
C1T3_DNA,C1,3,N,N,Griffith,DNA,6,8/15/18,14
C2T3_DNA,C2,3,N,N,Griffith,DNA,6,8/15/18,14
C3T3_DNA,C3,3,N,N,Griffith,DNA,6,8/15/18,14
C4T3_DNA,C4,3,N,N,Griffith,DNA,6,8/15/18,14
C5T3_DNA,C5,3,N,N,Griffith,DNA,6,8/15/18,14
C6T3_DNA,C6,3,N,N,Griffith,DNA,6,8/15/18,14
R1T3_DNA,R1,3,Y,N,Griffith,DNA,6,8/15/18,60
R2T3_DNA,R2,3,Y,N,Griffith,DNA,6,8/15/18,60
R3T3_DNA,R3,3,Y,N,Griffith,DNA,6,8/15/18,60
R4T3_DNA,R4,3,Y,N,Griffith,DNA,6,8/15/18,60
R5T3_DNA,R5,3,Y,N,Griffith,DNA,6,8/15/18,60
R6T3_DNA,R6,3,Y,Y,Griffith,DNA,6,8/15/18,60
R7T3_DNA,R7,3,Y,Y,Griffith,DNA,6,8/15/18,60
R8T3_DNA,R8,3,Y,Y,Griffith,DNA,6,8/15/18,60
R9T3_DNA,R9,3,Y,Y,Griffith,DNA,6,8/15/18,60
C1T4_DNA,C1,4,N,N,Griffith,DNA,10,9/12/18,14
C2T4_DNA,C2,4,N,N,Griffith,DNA,10,9/12/18,14
C3T4_DNA,C3,4,N,N,Griffith,DNA,10,9/12/18,14
C4T4_DNA,C4,4,N,N,Griffith,DNA,10,9/12/18,14
C5T4_DNA,C5,4,N,N,Griffith,DNA,10,9/12/18,14
C6T4_DNA,C6,4,N,N,Griffith,DNA,10,9/12/18,14
R1T4_DNA,R1,4,Y,N,Griffith,DNA,10,9/12/18,60
R2T4_DNA,R2,4,Y,N,Griffith,DNA,10,9/12/18,60
R3T4_DNA,R3,4,Y,N,Griffith,DNA,10,9/12/18,60
R4T4_DNA,R4,4,Y,N,Griffith,DNA,10,9/12/18,60
R5T4_DNA,R5,4,Y,N,Griffith,DNA,10,9/12/18,60
R6T4_DNA,R6,4,Y,Y,Griffith,DNA,10,9/12/18,60
R7T4_DNA,R7,4,Y,Y,Griffith,DNA,10,9/12/18,60
R8T4_DNA,R8,4,Y,Y,Griffith,DNA,10,9/12/18,60
R9T4_DNA,R9,4,Y,Y,Griffith,DNA,10,9/12/18,60
C1T7_DNA,C1,7,N,N,Griffith,DNA,16,10/24/18,14
C2T7_DNA,C2,7,N,N,Griffith,DNA,16,10/24/18,14
C3T7_DNA,C3,7,N,N,Griffith,DNA,16,10/24/18,14
C4T7_DNA,C4,7,N,N,Griffith,DNA,16,10/24/18,14
C5T7_DNA,C5,7,N,N,Griffith,DNA,16,10/24/18,14
C6T7_DNA,C6,7,N,N,Griffith,DNA,16,10/24/18,14
R1T7_DNA,R1,7,Y,N,Griffith,DNA,16,10/24/18,14
R2T7_DNA,R2,7,Y,N,Griffith,DNA,16,10/24/18,14
R3T7_DNA,R3,7,Y,N,Griffith,DNA,16,10/24/18,14
R4T7_DNA,R4,7,Y,N,Griffith,DNA,16,10/24/18,14
R5T7_DNA,R5,7,Y,N,Griffith,DNA,16,10/24/18,14
R6T7_DNA,R6,7,Y,Y,Griffith,DNA,16,10/24/18,14
R7T7_DNA,R7,7,Y,Y,Griffith,DNA,16,10/24/18,14
R8T7_DNA,R8,7,Y,Y,Griffith,DNA,16,10/24/18,14
R9T7_DNA,R9,7,Y,Y,Griffith,DNA,16,10/24/18,14
C1T5_DNA,C1,5,N,N,Griffith,DNA,14,10/10/18,14
C2T5_DNA,C2,5,N,N,Griffith,DNA,14,10/10/18,14
C3T5_DNA,C3,5,N,N,Griffith,DNA,14,10/10/18,14
C4T5_DNA,C4,5,N,N,Griffith,DNA,14,10/10/18,14
C5T5_DNA,C5,5,N,N,Griffith,DNA,14,10/10/18,14
C6T5_DNA,C6,5,N,N,Griffith,DNA,14,10/10/18,14
R1T5_DNA,R1,5,Y,N,Griffith,DNA,14,10/10/18,60
R2T5_DNA,R2,5,Y,N,Griffith,DNA,14,10/10/18,60
R3T5_DNA,R3,5,Y,N,Griffith,DNA,14,10/10/18,60
R4T5_DNA,R4,5,Y,N,Griffith,DNA,14,10/10/18,60
R5T5_DNA,R5,5,Y,N,Griffith,DNA,14,10/10/18,60
R6T5_DNA,R6,5,Y,Y,Griffith,DNA,14,10/10/18,60
R7T5_DNA,R7,5,Y,Y,Griffith,DNA,14,10/10/18,60
R8T5_DNA,R8,5,Y,Y,Griffith,DNA,14,10/10/18,60
R9T5_DNA,R9,5,Y,Y,Griffith,DNA,14,10/10/18,60
C1T6_DNA,C1,6,N,N,Griffith,DNA,15,10/17/18,14
C2T6_DNA,C2,6,N,N,Griffith,DNA,15,10/17/18,14
C3T6_DNA,C3,6,N,N,Griffith,DNA,15,10/17/18,14
C4T6_DNA,C4,6,N,N,Griffith,DNA,15,10/17/18,14
C5T6_DNA,C5,6,N,N,Griffith,DNA,15,10/17/18,14
C6T6_DNA,C6,6,N,N,Griffith,DNA,15,10/17/18,14
R1T6_DNA,R1,6,Y,N,Griffith,DNA,15,10/17/18,37
R2T6_DNA,R2,6,Y,N,Griffith,DNA,15,10/17/18,37
R3T6_DNA,R3,6,Y,N,Griffith,DNA,15,10/17/18,37
R4T6_DNA,R4,6,Y,N,Griffith,DNA,15,10/17/18,37
R5T6_DNA,R5,6,Y,N,Griffith,DNA,15,10/17/18,37
R6T6_DNA,R6,6,Y,Y,Griffith,DNA,15,10/17/18,37
R7T6_DNA,R7,6,Y,Y,Griffith,DNA,15,10/17/18,37
R8T6_DNA,R8,6,Y,Y,Griffith,DNA,15,10/17/18,37
R9T6_DNA,R9,6,Y,Y,Griffith,DNA,15,10/17/18,37
C1T8_DNA,C1,8,N,N,Griffith,DNA,20,11/21/18,14
C2T8_DNA,C2,8,N,N,Griffith,DNA,20,11/21/18,14
C3T8_DNA,C3,8,N,N,Griffith,DNA,20,11/21/18,14
C4T8_DNA,C4,8,N,N,Griffith,DNA,20,11/21/18,14
C5T8_DNA,C5,8,N,N,Griffith,DNA,20,11/21/18,14
C6T8_DNA,C6,8,N,N,Griffith,DNA,20,11/21/18,14
R1T8_DNA,R1,8,Y,N,Griffith,DNA,20,11/21/18,14
R2T8_DNA,R2,8,Y,N,Griffith,DNA,20,11/21/18,14
R3T8_DNA,R3,8,Y,N,Griffith,DNA,20,11/21/18,14
R4T8_DNA,R4,8,Y,N,Griffith,DNA,20,11/21/18,14
R5T8_DNA,R5,8,Y,N,Griffith,DNA,20,11/21/18,14
R6T8_DNA,R6,8,Y,Y,Griffith,DNA,20,11/21/18,14
R7T8_DNA,R7,8,Y,Y,Griffith,DNA,20,11/21/18,14
R8T8_DNA,R8,8,Y,Y,Griffith,DNA,20,11/21/18,14
R9T8_DNA,R9,8,Y,Y,Griffith,DNA,20,11/21/18,14
C1T9_DNA,C1,9,N,N,Griffith,DNA,45,5/13/19,14
C2T9_DNA,C2,9,N,N,Griffith,DNA,45,5/13/19,14
C3T9_DNA,C3,9,N,N,Griffith,DNA,45,5/13/19,14
C4T9_DNA,C4,9,N,N,Griffith,DNA,45,5/13/19,14
C5T9_DNA,C5,9,N,N,Griffith,DNA,45,5/13/19,14
C6T9_DNA,C6,9,N,N,Griffith,DNA,45,5/13/19,14
R1T9_DNA,R1,9,Y,N,Griffith,DNA,45,5/13/19,14
R2T9_DNA,R2,9,Y,N,Griffith,DNA,45,5/13/19,14
R3T9_DNA,R3,9,Y,N,Griffith,DNA,45,5/13/19,14
R4T9_DNA,R4,9,Y,N,Griffith,DNA,45,5/13/19,14
R5T9_DNA,R5,9,Y,N,Griffith,DNA,45,5/13/19,14
R6T9_DNA,R6,9,Y,Y,Griffith,DNA,45,5/13/19,14
R7T9_DNA,R7,9,Y,Y,Griffith,DNA,45,5/13/19,14
R8T9_DNA,R8,9,Y,Y,Griffith,DNA,45,5/13/19,14
R9T9_DNA,R9,9,Y,Y,Griffith,DNA,45,5/13/19,14
R2T1_PMA1,R2,1,Y,N,PowerSoil,DNA,4,8/1/18,14
R2T1_PMA2,R2,1,Y,N,PowerSoil,DNA,4,8/1/18,14
R2T1_PMA3,R2,1,Y,N,PowerSoil,DNA,4,8/1/18,14
R2T1_PMA4,R2,1,Y,N,PowerSoil,DNA,4,8/1/18,14
R2T1_PMA5,R2,1,Y,N,PowerSoil,DNA,4,8/1/18,14
R2T1_Control1,R2,1,Y,N,PowerSoil,DNA,4,8/1/18,14
R2T1_Control2,R2,1,Y,N,PowerSoil,DNA,4,8/1/18,14
R2T1_Control3,R2,1,Y,N,PowerSoil,DNA,4,8/1/18,14
R2T1_Control4,R2,1,Y,N,PowerSoil,DNA,4,8/1/18,14
R2T1_Control5,R2,1,Y,N,PowerSoil,DNA,4,8/1/18,14
R2T4_PMA1,R2,4,Y,N,PowerSoil,DNA,10,9/12/18,60
R2T4_PMA2,R2,4,Y,N,PowerSoil,DNA,10,9/12/18,60
R2T4_PMA3,R2,4,Y,N,PowerSoil,DNA,10,9/12/18,60
R2T4_PMA4,R2,4,Y,N,PowerSoil,DNA,10,9/12/18,60
R2T4_PMA5,R2,4,Y,N,PowerSoil,DNA,10,9/12/18,60
R2T4_Control1,R2,4,Y,N,PowerSoil,DNA,10,9/12/18,60
R2T4_Control2,R2,4,Y,N,PowerSoil,DNA,10,9/12/18,60
R2T4_Control3,R2,4,Y,N,PowerSoil,DNA,10,9/12/18,60
R2T4_Control4,R2,4,Y,N,PowerSoil,DNA,10,9/12/18,60
R2T4_Control5,R2,4,Y,N,PowerSoil,DNA,10,9/12/18,60
R2T7_PMA1,R2,7,Y,N,PowerSoil,DNA,16,10/10/18,14
R2T7_PMA2,R2,7,Y,N,PowerSoil,DNA,16,10/10/18,14
R2T7_PMA3,R2,7,Y,N,PowerSoil,DNA,16,10/10/18,14
R2T5_PMA4,R2,7,Y,N,PowerSoil,DNA,16,10/10/18,14
R2T7_PMA5,R2,7,Y,N,PowerSoil,DNA,16,10/10/18,14
R2T7_Control1,R2,7,Y,N,PowerSoil,DNA,16,10/10/18,14
R2T7_Control2,R2,7,Y,N,PowerSoil,DNA,16,10/10/18,14
R2T7_Control3,R2,7,Y,N,PowerSoil,DNA,16,10/10/18,14
R2T7_Control4,R2,7,Y,N,PowerSoil,DNA,16,10/10/18,14
R2T7_Control5,R2,7,Y,N,PowerSoil,DNA,16,10/10/18,14
NegControl_RNA,None,NA,NA,NA,Griffith,RNA,NA,NA,NA
NegControl_DNA,None,NA,NA,NA,Griffith,DNA,NA,NA,NA
PowerSoil_Kit-ome,None,NA,NA,NA,PowerSoil,DNA,NA,NA,NA
PBS_PMA_NegControl,None,NA,NA,NA,PowerSoil,DNA,NA,NA,NA